Framework,Framework_ID,crypto_assets_max_sim,crypto_assets_top_k_mean,crypto_assets_coverage_log,crypto_assets_depth,crypto_assets_concentration,crypto_assets_differential,crypto_assets_kw_specific,crypto_assets_kw_general,crypto_assets_kw_ratio,crypto_assets_combined,crypto_agility_max_sim,crypto_agility_top_k_mean,crypto_agility_coverage_log,crypto_agility_depth,crypto_agility_concentration,crypto_agility_differential,crypto_agility_kw_specific,crypto_agility_kw_general,crypto_agility_kw_ratio,crypto_agility_combined,migration_planning_max_sim,migration_planning_top_k_mean,migration_planning_coverage_log,migration_planning_depth,migration_planning_concentration,migration_planning_differential,migration_planning_kw_specific,migration_planning_kw_general,migration_planning_kw_ratio,migration_planning_combined,risk_management_max_sim,risk_management_top_k_mean,risk_management_coverage_log,risk_management_depth,risk_management_concentration,risk_management_differential,risk_management_kw_specific,risk_management_kw_general,risk_management_kw_ratio,risk_management_combined,standards_compliance_max_sim,standards_compliance_top_k_mean,standards_compliance_coverage_log,standards_compliance_depth,standards_compliance_concentration,standards_compliance_differential,standards_compliance_kw_specific,standards_compliance_kw_general,standards_compliance_kw_ratio,standards_compliance_combined
ANSSI views on the Post-Quantum Cryptography transition.pdf,009,0.4359,0.4214,3.3322,0.3586,0.7692,0.6419,1.0479,31.0863,0.0333,0.3854,0.5568,0.5394,3.6889,0.4318,0.1538,0.633,0.6986,14.3206,0.0476,0.3283,0.602,0.5506,3.434,0.44,0.25,0.3688,0.0,9.0814,0.0,0.2733,0.4956,0.4697,3.4012,0.3988,0.3077,0.3449,0.0,3.8421,0.0,0.2331,0.644,0.5669,3.5835,0.406,0.1538,0.8159,23.7513,21.6556,1.0794,0.663
CSI_CNSA_2.0_FAQ_.PDF,Unknown,0.442,0.4198,3.5553,0.3558,0.0366,0.5578,0.8925,15.618,0.0566,0.2921,0.589,0.5229,3.8501,0.3975,0.0854,0.6257,0.4462,5.801,0.075,0.2905,0.5879,0.5399,4.1271,0.4188,0.0854,0.482,3.8673,10.2633,0.3714,0.3979,0.5307,0.482,3.6889,0.3981,0.1951,0.3697,0.1487,3.8673,0.037,0.2432,0.681,0.5685,4.0604,0.4047,0.4634,0.6228,25.5838,22.014,1.1544,0.6726
ENISA Report - Post-Quantum Cryptography Current state and quantum mitigation-V2.pdf,010,0.4945,0.3738,3.9318,0.3457,0.0118,0.5507,0.0,144.6302,0.0,0.3164,0.5281,0.4306,4.4773,0.3624,0.0118,0.5429,0.2533,4.306,0.0556,0.2552,0.5297,0.4438,4.5218,0.37,0.0118,0.3539,2.0263,18.7437,0.1067,0.334,0.4895,0.408,4.1109,0.3642,0.0118,0.2962,2.7862,4.306,0.6111,0.3121,0.5308,0.4254,4.3944,0.3625,0.063,0.8037,31.6616,34.4478,0.9124,0.655
MIGRATION TO POST-QUANTUM CRYPTOGRAPHY.pdf,011,0.5891,0.571,3.6636,0.443,0.6585,0.5903,3.4358,45.6194,0.075,0.4785,0.6728,0.6467,3.6636,0.5232,0.6829,0.6502,0.5726,1.9088,0.2727,0.3544,0.773,0.7364,3.6109,0.5734,0.439,0.4834,2.8631,12.7887,0.2206,0.4399,0.6024,0.5825,3.5264,0.4963,0.8049,0.3312,0.5726,12.4069,0.0455,0.3347,0.5587,0.5138,2.9957,0.383,0.1951,0.5679,1.7179,24.4321,0.0698,0.3699
POST-QUANTUM CRYPTOGRAPHY READINESS IN U.S. COMMUNITY BANKS AND FINANCIAL SMES: A CYBERSECURITY RISK ASSESSMENT FRAMEWORK.pdf,001,0.5081,0.4979,3.9512,0.4116,0.3443,0.5928,2.0344,17.4051,0.1154,0.3724,0.5707,0.5276,3.7842,0.4223,0.1639,0.5378,0.226,1.5823,0.125,0.2691,0.7098,0.6594,4.0073,0.4852,0.1639,0.5013,6.7812,9.9458,0.6667,0.5199,0.7139,0.6355,4.0254,0.4934,0.1311,0.4557,3.6166,23.0561,0.1553,0.4517,0.5005,0.4358,2.0794,0.4175,0.1639,0.7039,1.3562,17.179,0.0779,0.3298
Post-Quantum Cryptography (PQC) Network Instrument: Measuring PQC Adoption Rates and Identifying Migration Pathways.pdf,002,0.4981,0.4659,4.0431,0.3835,0.4333,0.6917,0.5701,35.0627,0.0162,0.3811,0.5556,0.5204,3.9318,0.4067,0.4222,0.6238,0.1425,2.138,0.0625,0.2849,0.6185,0.5613,4.0604,0.413,0.1333,0.4916,0.4276,6.1288,0.0682,0.2902,0.5564,0.4691,3.8501,0.3808,0.2333,0.4004,0.0,1.2828,0.0,0.2351,0.4996,0.4506,3.4965,0.3667,0.0667,0.7469,6.5564,6.1288,1.0455,0.4813
Preparing for Quantum-Safe Cryptography.pdf,012,0.4936,0.4834,2.9444,0.3949,0.8947,0.6245,1.9293,33.4405,0.0566,0.4249,0.5714,0.5519,2.9957,0.4636,0.5263,0.6559,0.0,0.0,0.0,0.2806,0.7021,0.6753,2.9444,0.5292,0.7895,0.4366,0.0,14.1479,0.0,0.3504,0.5575,0.5514,2.9444,0.4752,0.0526,0.2449,0.6431,16.7203,0.037,0.2886,0.4594,0.4442,2.7726,0.3704,0.6842,0.651,1.9293,19.9357,0.0938,0.3738
QUANTUM COMPUTING IN FINANCE: A STRATEGIC ROADMAP FOR INVESTORS AND BANKS.pdf,003,0.4168,0.3407,3.2958,0.3307,0.0326,0.4999,0.9214,31.6339,0.0288,0.3179,0.5005,0.4045,3.8918,0.3584,0.0054,0.5711,0.9214,4.914,0.1765,0.2709,0.5784,0.4647,4.3944,0.3842,0.0217,0.3968,17.199,28.8698,0.5895,0.6031,0.5449,0.4845,4.5218,0.3845,0.0054,0.432,0.6143,43.3047,0.0141,0.3461,0.396,0.3491,3.6636,0.3289,0.0109,0.7008,0.6143,21.1916,0.0286,0.3021
QUANTUM READINESS INDEX.pdf,004,0.6382,0.5746,4.1897,0.4126,0.6735,0.5322,2.5463,21.6948,0.1168,0.4331,0.782,0.6125,4.3438,0.4232,0.3571,0.6101,1.7315,3.1575,0.5312,0.3844,0.7154,0.6914,4.5433,0.5541,0.0714,0.5541,11.6113,23.9356,0.4831,0.6544,0.7305,0.6822,4.5433,0.5461,0.4388,0.5476,4.0741,31.7784,0.1278,0.5263,0.4332,0.3838,3.434,0.3424,0.1633,0.5994,1.2222,11.2039,0.1081,0.2917
QUANTUM-SAFE MIGRATION HANDBOOK.pdf,005,0.7237,0.5977,4.7362,0.4225,0.3609,0.5999,4.4515,36.3682,0.1221,0.5172,0.7418,0.6217,4.7536,0.4555,0.2632,0.6272,1.6798,5.2914,0.3125,0.3806,0.8204,0.7465,4.8363,0.5352,0.1203,0.5581,6.0474,20.8298,0.2892,0.5555,0.7224,0.6389,4.7536,0.4832,0.1128,0.4566,3.0237,17.9741,0.1674,0.4272,0.5382,0.4232,3.5264,0.3667,0.0602,0.6715,4.9555,10.5829,0.4646,0.4206
Quantum Computing Cybersecurity Preparedness Act.pdf,013,0.3692,0.3642,1.9459,0.3426,0.7,0.4281,2.7972,25.1748,0.1081,0.3641,0.457,0.4443,2.1972,0.3832,0.7,0.4747,0.6993,2.0979,0.25,0.2699,0.627,0.5618,2.3979,0.4836,0.8,0.4242,6.993,5.5944,1.1111,0.5227,0.476,0.4645,2.3026,0.4181,0.4,0.3462,0.0,4.1958,0.0,0.2275,0.4181,0.3945,1.9459,0.367,0.7,0.4852,0.0,10.4895,0.0,0.2559
Quantum Readiness in Cryptography: A Maturity-Based Framework for Post- Quantum Transition.pdf,006,0.5842,0.5294,4.7449,0.4086,0.1259,0.6657,4.9605,29.8643,0.1655,0.5044,0.6687,0.5894,4.7707,0.4624,0.0667,0.6646,2.8346,8.605,0.3256,0.4054,0.7721,0.6794,4.7875,0.5,0.0667,0.5039,8.9087,17.7161,0.5,0.6035,0.6217,0.5765,4.7095,0.4478,0.0741,0.3804,4.2519,13.6667,0.3088,0.4207,0.6251,0.496,4.0775,0.3783,0.163,0.7528,13.768,22.4742,0.6099,0.6296
Quantum Readiness: Unlocking the Quantum Advantage for Australian Industries.pdf,007,0.3928,0.3485,1.9459,0.326,0.7353,0.4694,0.0,2.7037,0.0,0.2189,0.4942,0.3894,2.3026,0.3402,0.7353,0.5678,0.0,0.7725,0.0,0.2415,0.5469,0.5303,3.4657,0.4543,0.7353,0.4678,10.4287,4.635,2.0769,0.6406,0.6593,0.5972,3.4657,0.4486,0.7647,0.4821,0.3862,18.1537,0.0208,0.3628,0.3972,0.3629,1.9459,0.3396,0.9118,0.7904,0.0,4.2487,0.0,0.2682
Quantum computing and the financial system- opportunities and risks.pdf,016,0.4628,0.4388,4.1109,0.3765,0.176,0.5988,0.0861,23.0617,0.0037,0.3168,0.6624,0.5934,4.6634,0.433,0.272,0.6614,0.0,0.4303,0.0,0.2967,0.8044,0.6225,4.5539,0.4273,0.184,0.3472,0.7745,6.2817,0.1216,0.3213,0.6049,0.5743,4.6347,0.4385,0.392,0.2415,2.0652,12.7356,0.1611,0.354,0.4202,0.3248,1.9459,0.3627,0.048,0.6454,0.0,3.8723,0.0,0.2101
Transitioning organizations to post-quantum cryptography.pdf,008,0.5068,0.4817,4.3567,0.3954,0.1279,0.6328,0.8679,26.7612,0.0323,0.3641,0.6526,0.6117,4.3944,0.4751,0.0349,0.6324,2.1698,3.1824,0.6522,0.3803,0.6814,0.6418,4.382,0.4721,0.0349,0.4364,3.6164,13.1636,0.2717,0.4166,0.5482,0.5234,4.1744,0.4166,0.4419,0.2926,1.0126,4.3396,0.2258,0.293,0.5176,0.4433,4.0254,0.3618,0.1279,0.6499,6.9434,20.541,0.3357,0.5027
WEF_Quantum_Readiness_Toolkit_2023.pdf,017,0.5868,0.51,3.8918,0.3995,0.5357,0.5583,0.0,7.5908,0.0,0.2965,0.6923,0.6272,3.8712,0.4294,0.8393,0.56,1.0844,1.9881,0.5,0.3703,0.6485,0.6416,3.989,0.5396,0.4107,0.4805,7.7716,13.7358,0.5584,0.5594,0.7591,0.7185,3.989,0.5754,0.6607,0.4898,2.1688,33.7972,0.0638,0.4846,0.3142,0.2972,1.0986,0.3109,0.1429,0.5086,0.7229,6.3257,0.1111,0.2059
WEF_Transitioning to_a_Quantum_Secure_Economy_2022.pdf,018,0.5955,0.5157,4.6347,0.3898,0.6721,0.5456,0.5381,17.9121,0.0299,0.3593,0.6932,0.6075,4.7274,0.43,0.2705,0.5789,0.5381,2.1525,0.2414,0.3245,0.7613,0.6793,4.7791,0.5309,0.1311,0.4365,6.4576,14.9908,0.4286,0.528,0.6762,0.639,4.7707,0.5115,0.2295,0.3587,1.1531,20.2952,0.0566,0.377,0.4562,0.3682,3.091,0.3443,0.3934,0.6132,0.4613,7.3801,0.0619,0.268
itsm.40.001-migration-post-quantum-cryptography-government-canada-e.pdf,014,0.657,0.5831,3.2958,0.4315,0.8649,0.5728,4.8823,13.498,0.3542,0.4854,0.4688,0.4374,2.8904,0.3737,0.5946,0.5075,0.5744,0.8616,0.5,0.2796,0.6472,0.6471,3.4965,0.4894,0.2162,0.5987,12.062,38.1964,0.3134,0.6497,0.6017,0.5939,3.2958,0.4424,0.2703,0.5744,1.1488,11.7748,0.0952,0.3404,0.3338,0.3268,1.9459,0.3153,0.9189,0.5771,0.0,6.8926,0.0,0.2437
pdf-quantum-threat-timeline-report-2025.pdf,015,0.4351,0.3842,3.9318,0.352,0.2823,0.5742,0.0,6.6461,0.0,0.2501,0.5877,0.5036,4.9416,0.3936,0.1089,0.6322,0.0811,0.851,0.0909,0.276,0.7123,0.5942,5.1591,0.4345,0.1089,0.3711,2.6747,6.8893,0.386,0.3758,0.6869,0.5902,5.193,0.4369,0.0645,0.2988,7.1324,10.7392,0.6617,0.5017,0.5835,0.3621,4.1271,0.3344,0.0726,0.775,0.1621,2.2694,0.0702,0.2655
